hotel_nombre,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Alletra Resort,2019-11-13,38,126,15,116.86
GreenLake Digital Business Suites,2019-11-13,42,173,22,137.39
Apollo Resort & Spa,2019-11-13,45,130,20,169.5
Nimble Inn,2019-11-13,44,98,14,98.89
Ezmeral Grand Hotel,2019-11-13,45,132,8,170.78
Alletra Boutique Hotel,2019-11-13,36,149,16,111.91
Simplivity Golden Plaza Hotel,2019-11-13,36,83,13,137.07
Cray Villas,2019-11-13,42,100,14,94.9
Apollo Diamond Suites,2019-11-13,56,161,29,115.21
Apollo Towers,2019-11-13,55,267,22,174.91
Alletra Diamond Grand Hotel,2019-11-14,33,67,7,101.31
ProLiant Towers,2019-11-14,39,119,16,156.65
Aruba Luxury Lodge,2019-11-14,42,201,20,130.75
InfoSight Boutique Hotel,2019-11-14,38,182,14,133.23
Primera Grand,2019-11-14,49,222,14,111.0
dHCI Executive Boutique Hotel,2019-11-14,57,175,14,134.71
ProLiant Haven,2019-11-14,38,165,31,100.51
Apollo Executive Beach Resort,2019-11-14,43,194,23,100.93
Aruba Lodge,2019-11-14,54,115,9,172.38
Alletra Haven,2019-11-14,37,106,14,123.73
dHCI Platinum Beach Resort,2019-11-14,53,219,33,189.25
GreenLake Platinum Heritage Inn,2019-11-14,52,168,10,157.19
Pointnext Signature Residences & Suites,2019-11-14,46,104,19,143.08
ProLiant Place,2019-11-14,31,150,29,131.16
Synergy Golden Grand Hotel,2019-11-14,34,79,10,94.43
Alletra Resort,2019-11-14,49,135,15,194.81
GreenLake Digital Business Suites,2019-11-14,37,131,16,108.35
Apollo Resort & Spa,2019-11-14,57,121,22,131.44
Nimble Inn,2019-11-14,35,87,7,127.15
Ezmeral Grand Hotel,2019-11-14,38,139,26,121.36
Alletra Boutique Hotel,2019-11-14,39,130,19,165.48
Simplivity Golden Plaza Hotel,2019-11-14,53,255,40,198.73
Cray Villas,2019-11-14,36,158,21,108.3
Apollo Diamond Suites,2019-11-14,45,187,23,95.57
Apollo Towers,2019-11-14,30,79,8,131.58
Alletra Diamond Grand Hotel,2019-11-15,54,165,8,176.6
ProLiant Towers,2019-11-15,44,137,21,108.26
Aruba Luxury Lodge,2019-11-15,47,214,14,187.9
InfoSight Boutique Hotel,2019-11-15,55,223,29,118.3
Primera Grand,2019-11-15,56,267,47,162.39
dHCI Executive Boutique Hotel,2019-11-15,57,277,20,170.34
ProLiant Haven,2019-11-15,38,162,11,107.87
Apollo Executive Beach Resort,2019-11-15,55,145,11,198.55
Aruba Lodge,2019-11-15,59,170,28,184.97
Alletra Haven,2019-11-15,56,184,13,191.17
dHCI Platinum Beach Resort,2019-11-15,58,185,27,154.06
GreenLake Platinum Heritage Inn,2019-11-15,58,163,16,134.87
Pointnext Signature Residences & Suites,2019-11-15,35,91,13,103.52
ProLiant Place,2019-11-15,40,142,22,136.26
Synergy Golden Grand Hotel,2019-11-15,47,106,20,158.84
Alletra Resort,2019-11-15,57,250,25,124.56
GreenLake Digital Business Suites,2019-11-15,38,96,5,117.55
Apollo Resort & Spa,2019-11-15,37,125,19,122.06
Nimble Inn,2019-11-15,52,106,14,177.49
Ezmeral Grand Hotel,2019-11-15,37,161,14,157.28
Alletra Boutique Hotel,2019-11-15,33,74,8,105.31
Simplivity Golden Plaza Hotel,2019-11-15,41,195,31,158.26
Cray Villas,2019-11-15,55,213,22,207.53
Apollo Diamond Suites,2019-11-15,35,77,6,125.17
Apollo Towers,2019-11-15,36,171,13,147.43
Alletra Diamond Grand Hotel,2019-11-16,47,141,17,142.95
ProLiant Towers,2019-11-16,55,195,23,145.27
Aruba Luxury Lodge,2019-11-16,46,200,22,115.19
InfoSight Boutique Hotel,2019-11-16,63,142,12,188.05
Primera Grand,2019-11-16,58,154,26,172.43
dHCI Executive Boutique Hotel,2019-11-16,73,288,48,149.16
ProLiant Haven,2019-11-16,67,305,24,198.45
Apollo Executive Beach Resort,2019-11-16,45,199,35,105.35
Aruba Lodge,2019-11-16,62,130,7,139.77
Alletra Haven,2019-11-16,43,125,24,119.47
dHCI Platinum Beach Resort,2019-11-16,43,139,12,146.19
GreenLake Platinum Heritage Inn,2019-11-16,60,167,23,111.53
Pointnext Signature Residences & Suites,2019-11-16,43,208,13,173.3
ProLiant Place,2019-11-16,63,282,43,115.34
Synergy Golden Grand Hotel,2019-11-16,71,350,52,202.04
Alletra Resort,2019-11-16,42,207,25,136.55
GreenLake Digital Business Suites,2019-11-16,64,201,28,187.25
Apollo Resort & Spa,2019-11-16,59,158,18,224.38
Nimble Inn,2019-11-16,63,200,11,135.83
Ezmeral Grand Hotel,2019-11-16,48,122,11,162.76
Alletra Boutique Hotel,2019-11-16,41,144,15,137.4
Simplivity Golden Plaza Hotel,2019-11-16,44,208,29,135.27
Cray Villas,2019-11-16,66,204,38,174.6
Apollo Diamond Suites,2019-11-16,43,185,22,93.61
Apollo Towers,2019-11-16,48,144,21,107.2
Alletra Diamond Grand Hotel,2019-11-17,72,290,23,238.41
ProLiant Towers,2019-11-17,64,128,24,168.27
Aruba Luxury Lodge,2019-11-17,51,179,27,189.48
InfoSight Boutique Hotel,2019-11-17,64,208,12,232.77
Primera Grand,2019-11-17,56,225,27,211.48
dHCI Executive Boutique Hotel,2019-11-17,57,282,34,201.61
ProLiant Haven,2019-11-17,73,210,17,224.74
Apollo Executive Beach Resort,2019-11-17,47,132,24,101.8
Aruba Lodge,2019-11-17,50,122,13,149.28
Alletra Haven,2019-11-17,53,200,34,187.64
dHCI Platinum Beach Resort,2019-11-17,63,223,33,161.79
GreenLake Platinum Heritage Inn,2019-11-17,58,258,37,220.8
Pointnext Signature Residences & Suites,2019-11-17,59,179,31,204.48
ProLiant Place,2019-11-17,46,209,38,175.45
Synergy Golden Grand Hotel,2019-11-17,55,228,15,107.59
Alletra Resort,2019-11-17,49,163,12,162.45
GreenLake Digital Business Suites,2019-11-17,56,226,36,174.45
Apollo Resort & Spa,2019-11-17,48,188,16,182.24
Nimble Inn,2019-11-17,49,216,22,153.29
Ezmeral Grand Hotel,2019-11-17,65,280,34,115.95
Alletra Boutique Hotel,2019-11-17,50,132,21,137.19
Simplivity Golden Plaza Hotel,2019-11-17,56,143,22,119.54
Cray Villas,2019-11-17,57,178,34,166.83
Apollo Diamond Suites,2019-11-17,61,270,14,138.01
Apollo Towers,2019-11-17,41,201,36,98.16
Alletra Diamond Grand Hotel,2019-11-18,30,124,13,90.6
ProLiant Towers,2019-11-18,52,144,7,112.75
Aruba Luxury Lodge,2019-11-18,55,231,16,144.71
InfoSight Boutique Hotel,2019-11-18,37,170,20,130.03
Primera Grand,2019-11-18,36,93,8,114.41
dHCI Executive Boutique Hotel,2019-11-18,38,149,13,162.74
ProLiant Haven,2019-11-18,55,267,29,152.51
Apollo Executive Beach Resort,2019-11-18,31,85,15,140.0
Aruba Lodge,2019-11-18,58,200,34,174.16
Alletra Haven,2019-11-18,45,125,12,108.2
dHCI Platinum Beach Resort,2019-11-18,31,127,20,98.59
GreenLake Platinum Heritage Inn,2019-11-18,56,123,22,108.37
Pointnext Signature Residences & Suites,2019-11-18,50,173,9,180.42
ProLiant Place,2019-11-18,33,133,18,90.59
Synergy Golden Grand Hotel,2019-11-18,39,192,17,157.73
Alletra Resort,2019-11-18,45,166,19,141.65
GreenLake Digital Business Suites,2019-11-18,37,169,9,93.45
Apollo Resort & Spa,2019-11-18,38,100,9,153.53
Nimble Inn,2019-11-18,41,115,22,134.3
Ezmeral Grand Hotel,2019-11-18,36,164,8,144.22
Alletra Boutique Hotel,2019-11-18,41,164,27,147.27
Simplivity Golden Plaza Hotel,2019-11-18,43,90,14,95.49
Cray Villas,2019-11-18,42,192,23,128.35
Apollo Diamond Suites,2019-11-18,45,98,6,171.15
Apollo Towers,2019-11-18,52,188,35,199.91
Alletra Diamond Grand Hotel,2019-11-19,49,124,22,138.11
ProLiant Towers,2019-11-19,33,151,20,91.41
Aruba Luxury Lodge,2019-11-19,45,152,15,153.01
InfoSight Boutique Hotel,2019-11-19,46,225,43,105.43
Primera Grand,2019-11-19,53,259,48,129.34
dHCI Executive Boutique Hotel,2019-11-19,43,206,24,121.76
ProLiant Haven,2019-11-19,52,182,35,152.88
Apollo Executive Beach Resort,2019-11-19,32,136,19,130.25
Aruba Lodge,2019-11-19,57,223,15,110.42
Alletra Haven,2019-11-19,43,120,14,176.04
dHCI Platinum Beach Resort,2019-11-19,46,120,15,155.38
GreenLake Platinum Heritage Inn,2019-11-19,44,158,14,179.27
Pointnext Signature Residences & Suites,2019-11-19,55,111,9,197.56
ProLiant Place,2019-11-19,41,138,15,162.02
Synergy Golden Grand Hotel,2019-11-19,51,145,22,189.53
Alletra Resort,2019-11-19,58,161,11,129.43
GreenLake Digital Business Suites,2019-11-19,31,119,9,134.75
Apollo Resort & Spa,2019-11-19,47,216,27,171.43
Nimble Inn,2019-11-19,55,174,34,132.03
Ezmeral Grand Hotel,2019-11-19,60,134,16,172.31
Alletra Boutique Hotel,2019-11-19,53,205,35,203.51
Simplivity Golden Plaza Hotel,2019-11-19,38,177,23,138.08
Cray Villas,2019-11-19,58,170,27,133.01
Apollo Diamond Suites,2019-11-19,36,179,35,88.42
Apollo Towers,2019-11-19,50,233,26,184.47
Alletra Diamond Grand Hotel,2019-11-20,56,169,19,176.0
ProLiant Towers,2019-11-20,31,73,7,93.82
Aruba Luxury Lodge,2019-11-20,59,232,42,180.63
InfoSight Boutique Hotel,2019-11-20,49,194,21,118.19
Primera Grand,2019-11-20,30,146,25,89.91
dHCI Executive Boutique Hotel,2019-11-20,37,113,21,113.09
ProLiant Haven,2019-11-20,30,148,8,115.83
Apollo Executive Beach Resort,2019-11-20,48,112,11,175.29
Aruba Lodge,2019-11-20,56,122,9,157.85
Alletra Haven,2019-11-20,59,146,9,211.23
dHCI Platinum Beach Resort,2019-11-20,50,191,15,155.84
GreenLake Platinum Heritage Inn,2019-11-20,59,175,9,124.11
Pointnext Signature Residences & Suites,2019-11-20,32,127,16,126.79
ProLiant Place,2019-11-20,54,269,47,204.79
Synergy Golden Grand Hotel,2019-11-20,34,150,8,119.93
Alletra Resort,2019-11-20,33,143,7,98.68
GreenLake Digital Business Suites,2019-11-20,60,130,25,145.68
Apollo Resort & Spa,2019-11-20,39,160,13,129.26
Nimble Inn,2019-11-20,44,187,22,133.34
Ezmeral Grand Hotel,2019-11-20,36,135,17,139.89
Alletra Boutique Hotel,2019-11-20,38,170,16,139.67
Simplivity Golden Plaza Hotel,2019-11-20,37,132,8,150.49
Cray Villas,2019-11-20,47,116,8,160.78
Apollo Diamond Suites,2019-11-20,54,191,13,204.63
Apollo Towers,2019-11-20,57,136,14,216.06
Alletra Diamond Grand Hotel,2019-11-21,46,139,25,129.59
ProLiant Towers,2019-11-21,44,178,29,162.94
Aruba Luxury Lodge,2019-11-21,51,212,21,135.52
InfoSight Boutique Hotel,2019-11-21,31,84,16,88.68
Primera Grand,2019-11-21,43,179,31,146.37
dHCI Executive Boutique Hotel,2019-11-21,57,165,26,158.7
ProLiant Haven,2019-11-21,33,132,13,137.42
Apollo Executive Beach Resort,2019-11-21,54,155,20,167.2
Aruba Lodge,2019-11-21,33,153,27,131.65
Alletra Haven,2019-11-21,46,170,25,122.51
dHCI Platinum Beach Resort,2019-11-21,52,149,12,136.57
GreenLake Platinum Heritage Inn,2019-11-21,44,211,23,175.86
Pointnext Signature Residences & Suites,2019-11-21,41,178,24,156.59
ProLiant Place,2019-11-21,59,155,27,168.98
Synergy Golden Grand Hotel,2019-11-21,32,146,18,127.56
Alletra Resort,2019-11-21,51,125,14,134.63
GreenLake Digital Business Suites,2019-11-21,44,189,22,137.71
Apollo Resort & Spa,2019-11-21,45,126,17,111.19
Nimble Inn,2019-11-21,39,180,12,105.91
Ezmeral Grand Hotel,2019-11-21,44,107,9,145.64
Alletra Boutique Hotel,2019-11-21,55,150,20,172.73
Simplivity Golden Plaza Hotel,2019-11-21,30,104,16,132.45
Cray Villas,2019-11-21,58,179,35,171.5
Apollo Diamond Suites,2019-11-21,39,144,23,125.02
Apollo Towers,2019-11-21,38,181,32,96.02
Alletra Diamond Grand Hotel,2019-11-22,43,103,15,122.32
ProLiant Towers,2019-11-22,43,171,21,106.25
Aruba Luxury Lodge,2019-11-22,41,154,15,93.45
InfoSight Boutique Hotel,2019-11-22,35,151,17,103.45
Primera Grand,2019-11-22,53,231,24,116.14
dHCI Executive Boutique Hotel,2019-11-22,34,160,31,117.38
ProLiant Haven,2019-11-22,51,175,18,183.14
Apollo Executive Beach Resort,2019-11-22,60,170,17,123.58
Aruba Lodge,2019-11-22,50,130,8,190.64
Alletra Haven,2019-11-22,50,222,12,128.29
dHCI Platinum Beach Resort,2019-11-22,41,123,10,114.76
GreenLake Platinum Heritage Inn,2019-11-22,41,158,15,159.12
Pointnext Signature Residences & Suites,2019-11-22,59,195,15,123.52
ProLiant Place,2019-11-22,47,228,34,116.13
Synergy Golden Grand Hotel,2019-11-22,55,270,40,181.93
Alletra Resort,2019-11-22,57,244,27,113.15
GreenLake Digital Business Suites,2019-11-22,56,243,25,106.87
Apollo Resort & Spa,2019-11-22,55,232,14,160.3
Nimble Inn,2019-11-22,54,224,21,112.58
Ezmeral Grand Hotel,2019-11-22,32,99,9,112.18
Alletra Boutique Hotel,2019-11-22,40,171,10,147.46
Simplivity Golden Plaza Hotel,2019-11-22,44,164,13,142.93
Cray Villas,2019-11-22,58,124,23,187.07
Apollo Diamond Suites,2019-11-22,37,170,25,118.1
Apollo Towers,2019-11-22,46,171,33,143.62
Alletra Diamond Grand Hotel,2019-11-23,59,179,27,224.58
ProLiant Towers,2019-11-23,41,127,20,107.15
Aruba Luxury Lodge,2019-11-23,38,88,15,101.16
InfoSight Boutique Hotel,2019-11-23,46,131,7,161.15
Primera Grand,2019-11-23,66,277,43,240.14
dHCI Executive Boutique Hotel,2019-11-23,51,178,10,193.78
ProLiant Haven,2019-11-23,66,308,40,199.99
Apollo Executive Beach Resort,2019-11-23,53,256,50,109.66
Aruba Lodge,2019-11-23,61,160,15,227.22
Alletra Haven,2019-11-23,57,130,21,195.11
dHCI Platinum Beach Resort,2019-11-23,54,148,26,199.11
GreenLake Platinum Heritage Inn,2019-11-23,62,261,34,149.07
Pointnext Signature Residences & Suites,2019-11-23,58,148,11,196.85
ProLiant Place,2019-11-23,52,178,12,186.88
Synergy Golden Grand Hotel,2019-11-23,48,218,19,160.23
Alletra Resort,2019-11-23,51,219,35,162.13
GreenLake Digital Business Suites,2019-11-23,54,146,20,174.33
Apollo Resort & Spa,2019-11-23,52,210,27,148.14
Nimble Inn,2019-11-23,66,185,24,157.07
Ezmeral Grand Hotel,2019-11-23,58,231,22,218.19
Alletra Boutique Hotel,2019-11-23,56,148,25,175.06
Simplivity Golden Plaza Hotel,2019-11-23,48,109,10,175.58
Cray Villas,2019-11-23,51,201,15,129.47
Apollo Diamond Suites,2019-11-23,67,259,43,195.17
Apollo Towers,2019-11-23,43,207,35,116.07
Alletra Diamond Grand Hotel,2019-11-24,74,234,26,271.41
ProLiant Towers,2019-11-24,52,253,17,204.58
Aruba Luxury Lodge,2019-11-24,42,156,26,112.41
InfoSight Boutique Hotel,2019-11-24,69,268,48,137.82
Primera Grand,2019-11-24,55,190,14,110.77
dHCI Executive Boutique Hotel,2019-11-24,52,139,21,182.45
ProLiant Haven,2019-11-24,42,169,10,135.23
Apollo Executive Beach Resort,2019-11-24,54,222,44,208.08
Aruba Lodge,2019-11-24,58,158,29,199.32
Alletra Haven,2019-11-24,54,170,28,200.06
dHCI Platinum Beach Resort,2019-11-24,63,251,37,196.93
GreenLake Platinum Heritage Inn,2019-11-24,65,291,34,165.1
Pointnext Signature Residences & Suites,2019-11-24,56,121,12,113.52
ProLiant Place,2019-11-24,60,284,41,167.48
Synergy Golden Grand Hotel,2019-11-24,52,203,38,129.45
Alletra Resort,2019-11-24,71,336,25,126.17
GreenLake Digital Business Suites,2019-11-24,49,135,15,117.9
Apollo Resort & Spa,2019-11-24,47,119,7,111.19
Nimble Inn,2019-11-24,64,210,18,205.57
Ezmeral Grand Hotel,2019-11-24,67,161,14,128.1
Alletra Boutique Hotel,2019-11-24,54,200,25,176.43
Simplivity Golden Plaza Hotel,2019-11-24,56,247,27,176.26
Cray Villas,2019-11-24,45,132,23,123.76
Apollo Diamond Suites,2019-11-24,53,205,40,199.72
Apollo Towers,2019-11-24,63,260,32,230.07
Alletra Diamond Grand Hotel,2019-11-25,58,189,29,131.76
ProLiant Towers,2019-11-25,57,197,27,188.7
Aruba Luxury Lodge,2019-11-25,54,153,12,163.18
InfoSight Boutique Hotel,2019-11-25,30,96,18,124.64
Primera Grand,2019-11-25,46,176,10,171.76
dHCI Executive Boutique Hotel,2019-11-25,31,65,4,118.39
ProLiant Haven,2019-11-25,46,128,15,173.15
Apollo Executive Beach Resort,2019-11-25,54,243,22,193.84
Aruba Lodge,2019-11-25,43,132,18,121.7
Alletra Haven,2019-11-25,34,116,18,107.89
dHCI Platinum Beach Resort,2019-11-25,49,161,31,177.57
GreenLake Platinum Heritage Inn,2019-11-25,36,106,20,145.16
Pointnext Signature Residences & Suites,2019-11-25,31,91,16,119.91
ProLiant Place,2019-11-25,45,188,30,127.97
Synergy Golden Grand Hotel,2019-11-25,37,78,4,131.06
Alletra Resort,2019-11-25,34,159,31,91.39
GreenLake Digital Business Suites,2019-11-25,47,176,16,172.54
Apollo Resort & Spa,2019-11-25,36,160,10,157.88
Nimble Inn,2019-11-25,37,181,13,107.97
Ezmeral Grand Hotel,2019-11-25,32,122,14,97.93
Alletra Boutique Hotel,2019-11-25,32,81,9,104.49
Simplivity Golden Plaza Hotel,2019-11-25,57,121,10,152.79
Cray Villas,2019-11-25,58,188,19,167.18
Apollo Diamond Suites,2019-11-25,43,184,16,121.02
Apollo Towers,2019-11-25,40,97,11,101.11
Alletra Diamond Grand Hotel,2019-11-26,31,124,13,136.28
ProLiant Towers,2019-11-26,53,115,13,136.29
Aruba Luxury Lodge,2019-11-26,30,60,11,134.21
InfoSight Boutique Hotel,2019-11-26,57,257,39,156.78
Primera Grand,2019-11-26,45,95,13,123.73
dHCI Executive Boutique Hotel,2019-11-26,60,133,8,131.34
ProLiant Haven,2019-11-26,52,185,32,149.18
Apollo Executive Beach Resort,2019-11-26,52,197,33,203.07
Aruba Lodge,2019-11-26,41,180,14,156.88
Alletra Haven,2019-11-26,54,220,18,172.0
dHCI Platinum Beach Resort,2019-11-26,41,115,10,138.79
GreenLake Platinum Heritage Inn,2019-11-26,40,196,35,123.49
Pointnext Signature Residences & Suites,2019-11-26,45,200,36,147.35
ProLiant Place,2019-11-26,36,87,5,124.02
Synergy Golden Grand Hotel,2019-11-26,31,75,5,123.37
Alletra Resort,2019-11-26,43,182,30,147.01
GreenLake Digital Business Suites,2019-11-26,51,152,10,103.5
Apollo Resort & Spa,2019-11-26,53,111,6,185.13
Nimble Inn,2019-11-26,58,127,19,171.15
Ezmeral Grand Hotel,2019-11-26,31,134,8,118.62
Alletra Boutique Hotel,2019-11-26,36,102,16,138.09
Simplivity Golden Plaza Hotel,2019-11-26,37,182,14,104.62
Cray Villas,2019-11-26,40,137,22,145.99
Apollo Diamond Suites,2019-11-26,36,122,22,86.21
Apollo Towers,2019-11-26,56,202,18,151.43
Alletra Diamond Grand Hotel,2019-11-27,38,102,19,90.51
ProLiant Towers,2019-11-27,50,122,20,101.07
Aruba Luxury Lodge,2019-11-27,60,254,29,123.36
InfoSight Boutique Hotel,2019-11-27,35,105,16,128.57
Primera Grand,2019-11-27,47,220,38,118.05
dHCI Executive Boutique Hotel,2019-11-27,36,171,24,126.71
ProLiant Haven,2019-11-27,45,102,14,171.22
Apollo Executive Beach Resort,2019-11-27,41,128,8,122.04
Aruba Lodge,2019-11-27,44,137,14,102.31
Alletra Haven,2019-11-27,60,253,49,202.91
dHCI Platinum Beach Resort,2019-11-27,37,77,11,159.6
GreenLake Platinum Heritage Inn,2019-11-27,51,155,16,185.18
Pointnext Signature Residences & Suites,2019-11-27,32,138,19,117.08
ProLiant Place,2019-11-27,37,153,9,130.58
Synergy Golden Grand Hotel,2019-11-27,58,181,26,111.24
Alletra Resort,2019-11-27,49,202,17,128.4
GreenLake Digital Business Suites,2019-11-27,42,128,20,144.88
Apollo Resort & Spa,2019-11-27,59,293,30,126.61
Nimble Inn,2019-11-27,53,159,12,192.14
Ezmeral Grand Hotel,2019-11-27,44,90,11,176.76
Alletra Boutique Hotel,2019-11-27,42,192,9,113.92
Simplivity Golden Plaza Hotel,2019-11-27,35,161,19,146.65
Cray Villas,2019-11-27,40,131,19,147.7
Apollo Diamond Suites,2019-11-27,44,102,15,108.09
Apollo Towers,2019-11-27,30,128,25,129.81
Alletra Diamond Grand Hotel,2019-11-28,51,160,25,198.86
ProLiant Towers,2019-11-28,33,121,15,140.1
Aruba Luxury Lodge,2019-11-28,53,124,24,196.93
InfoSight Boutique Hotel,2019-11-28,55,146,25,169.64
Primera Grand,2019-11-28,32,120,21,82.22
dHCI Executive Boutique Hotel,2019-11-28,47,103,12,101.6
ProLiant Haven,2019-11-28,36,179,22,115.25
Apollo Executive Beach Resort,2019-11-28,35,125,12,144.08
Aruba Lodge,2019-11-28,51,204,26,148.42
Alletra Haven,2019-11-28,45,204,34,102.62
dHCI Platinum Beach Resort,2019-11-28,51,192,13,140.34
GreenLake Platinum Heritage Inn,2019-11-28,34,157,10,122.3
Pointnext Signature Residences & Suites,2019-11-28,43,169,28,144.59
ProLiant Place,2019-11-28,42,122,6,133.23
Synergy Golden Grand Hotel,2019-11-28,36,140,27,112.07
Alletra Resort,2019-11-28,52,228,34,205.01
GreenLake Digital Business Suites,2019-11-28,56,140,7,202.92
Apollo Resort & Spa,2019-11-28,58,262,51,150.73
Nimble Inn,2019-11-28,37,168,26,129.1
Ezmeral Grand Hotel,2019-11-28,53,211,35,180.44
Alletra Boutique Hotel,2019-11-28,55,220,16,109.94
Simplivity Golden Plaza Hotel,2019-11-28,45,138,15,162.23
Cray Villas,2019-11-28,58,257,33,182.12
Apollo Diamond Suites,2019-11-28,36,111,7,95.41
Apollo Towers,2019-11-28,33,114,14,116.63
Alletra Diamond Grand Hotel,2019-11-29,60,296,36,182.87
ProLiant Towers,2019-11-29,41,188,26,142.08
Aruba Luxury Lodge,2019-11-29,51,246,36,132.3
InfoSight Boutique Hotel,2019-11-29,47,127,13,151.4
Primera Grand,2019-11-29,45,191,14,108.01
dHCI Executive Boutique Hotel,2019-11-29,31,140,19,84.82
ProLiant Haven,2019-11-29,42,196,22,140.55
Apollo Executive Beach Resort,2019-11-29,34,106,13,123.26
Aruba Lodge,2019-11-29,48,156,21,116.16
Alletra Haven,2019-11-29,41,111,6,142.42
dHCI Platinum Beach Resort,2019-11-29,37,158,19,103.04
GreenLake Platinum Heritage Inn,2019-11-29,40,156,20,131.25
Pointnext Signature Residences & Suites,2019-11-29,53,221,26,127.61
ProLiant Place,2019-11-29,40,181,13,145.16
Synergy Golden Grand Hotel,2019-11-29,31,74,11,129.08
Alletra Resort,2019-11-29,60,208,25,124.87
GreenLake Digital Business Suites,2019-11-29,35,128,14,144.81
Apollo Resort & Spa,2019-11-29,48,124,20,109.73
Nimble Inn,2019-11-29,37,137,10,96.44
Ezmeral Grand Hotel,2019-11-29,48,127,14,142.17
Alletra Boutique Hotel,2019-11-29,43,129,24,161.22
Simplivity Golden Plaza Hotel,2019-11-29,48,189,28,175.87
Cray Villas,2019-11-29,44,137,22,151.06
Apollo Diamond Suites,2019-11-29,40,119,14,142.81
Apollo Towers,2019-11-29,53,182,32,111.36
Alletra Diamond Grand Hotel,2019-11-30,47,104,7,125.32
ProLiant Towers,2019-11-30,54,159,16,158.31
Aruba Luxury Lodge,2019-11-30,58,127,12,148.8
InfoSight Boutique Hotel,2019-11-30,71,171,33,143.42
Primera Grand,2019-11-30,58,205,32,129.82
dHCI Executive Boutique Hotel,2019-11-30,58,194,19,156.45
ProLiant Haven,2019-11-30,72,199,15,136.46
Apollo Executive Beach Resort,2019-11-30,58,270,45,221.27
Aruba Lodge,2019-11-30,68,245,24,172.36
Alletra Haven,2019-11-30,63,169,31,194.05
dHCI Platinum Beach Resort,2019-11-30,47,207,12,164.38
GreenLake Platinum Heritage Inn,2019-11-30,39,95,11,147.4
Pointnext Signature Residences & Suites,2019-11-30,54,208,21,194.88
ProLiant Place,2019-11-30,40,190,9,158.06
Synergy Golden Grand Hotel,2019-11-30,61,214,38,186.02
Alletra Resort,2019-11-30,63,247,20,132.61
GreenLake Digital Business Suites,2019-11-30,72,270,28,261.84
Apollo Resort & Spa,2019-11-30,48,172,29,183.22
Nimble Inn,2019-11-30,38,86,13,90.86
Ezmeral Grand Hotel,2019-11-30,45,151,16,152.87
Alletra Boutique Hotel,2019-11-30,68,194,36,211.45
Simplivity Golden Plaza Hotel,2019-11-30,49,142,27,188.04
Cray Villas,2019-11-30,50,248,12,117.79
Apollo Diamond Suites,2019-11-30,41,124,10,122.93
Apollo Towers,2019-11-30,59,143,12,142.57
Alletra Diamond Grand Hotel,2019-12-01,51,216,18,131.1
ProLiant Towers,2019-12-01,49,154,9,192.26
Aruba Luxury Lodge,2019-12-01,59,265,23,189.85
InfoSight Boutique Hotel,2019-12-01,68,146,8,225.63
Primera Grand,2019-12-01,73,261,51,130.51
dHCI Executive Boutique Hotel,2019-12-01,58,134,10,123.48
ProLiant Haven,2019-12-01,53,227,14,121.8
Apollo Executive Beach Resort,2019-12-01,66,164,23,180.36
Aruba Lodge,2019-12-01,48,151,8,156.31
Alletra Haven,2019-12-01,52,207,13,178.12
dHCI Platinum Beach Resort,2019-12-01,69,193,15,212.03
GreenLake Platinum Heritage Inn,2019-12-01,54,166,28,119.17
Pointnext Signature Residences & Suites,2019-12-01,54,237,14,201.72
ProLiant Place,2019-12-01,62,226,26,187.97
Synergy Golden Grand Hotel,2019-12-01,61,255,33,180.03
Alletra Resort,2019-12-01,62,157,26,185.49
GreenLake Digital Business Suites,2019-12-01,41,182,32,143.74
Apollo Resort & Spa,2019-12-01,48,136,18,185.41
Nimble Inn,2019-12-01,51,119,7,101.7
Ezmeral Grand Hotel,2019-12-01,40,177,34,145.47
Alletra Boutique Hotel,2019-12-01,56,209,28,137.87
Simplivity Golden Plaza Hotel,2019-12-01,46,136,6,107.1
Cray Villas,2019-12-01,40,92,8,93.44
Apollo Diamond Suites,2019-12-01,45,211,31,158.17
Apollo Towers,2019-12-01,57,281,35,166.35
Alletra Diamond Grand Hotel,2019-12-02,42,129,12,98.22
ProLiant Towers,2019-12-02,47,114,8,172.13
Aruba Luxury Lodge,2019-12-02,33,90,9,141.54
InfoSight Boutique Hotel,2019-12-02,40,193,37,163.05
Primera Grand,2019-12-02,39,189,29,133.98
dHCI Executive Boutique Hotel,2019-12-02,59,289,22,126.64
ProLiant Haven,2019-12-02,33,121,6,89.28
Apollo Executive Beach Resort,2019-12-02,36,78,7,95.89
Aruba Lodge,2019-12-02,33,101,17,118.22
Alletra Haven,2019-12-02,35,163,13,97.81
dHCI Platinum Beach Resort,2019-12-02,38,182,35,143.27
GreenLake Platinum Heritage Inn,2019-12-02,34,157,28,146.64
Pointnext Signature Residences & Suites,2019-12-02,42,105,11,162.02
ProLiant Place,2019-12-02,50,136,22,101.0
Synergy Golden Grand Hotel,2019-12-02,34,99,18,149.79
Alletra Resort,2019-12-02,58,160,13,157.17
GreenLake Digital Business Suites,2019-12-02,55,116,13,147.34
Apollo Resort & Spa,2019-12-02,39,168,24,146.08
Nimble Inn,2019-12-02,50,248,47,166.07
Ezmeral Grand Hotel,2019-12-02,54,194,28,202.27
Alletra Boutique Hotel,2019-12-02,43,177,33,119.01
