hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Aruba Luxury Lodge,1384,1366,81.5,3811,2019-05-04,85,389,32,293.21
InfoSight Boutique Hotel,3271,1561,79.8,4982,2019-05-04,79,286,55,195.99
Primera Grand,2876,1202,85.1,4150,2019-05-04,65,139,27,167.11
dHCI Executive Boutique Hotel,1779,1260,75.1,3454,2019-05-04,75,368,67,195.2
ProLiant Haven,1107,1888,79.4,3669,2019-05-04,63,126,11,183.03
Apollo Executive Beach Resort,3226,1213,50.9,4867,2019-05-04,67,319,45,245.54
Aruba Lodge,2479,1422,66.2,3329,2019-05-04,62,150,18,131.87
Alletra Haven,3265,1938,67.3,4721,2019-05-04,83,263,19,202.56
dHCI Platinum Beach Resort,2062,1175,80.2,4446,2019-05-04,76,208,21,160.4
GreenLake Platinum Heritage Inn,3995,1482,74.8,3088,2019-05-04,89,215,23,268.22
Pointnext Signature Residences & Suites,2378,1178,88.8,4161,2019-05-04,83,203,23,244.59
ProLiant Place,2571,1844,89.8,4777,2019-05-04,84,170,11,186.27
Synergy Golden Grand Hotel,2040,1233,72.4,3078,2019-05-04,68,258,21,177.6
Alletra Resort,1310,1691,68.3,4418,2019-05-04,82,297,42,157.2
GreenLake Digital Business Suites,3737,1229,74.6,3306,2019-05-04,88,407,78,145.21
Apollo Resort & Spa,3100,1072,67.7,3740,2019-05-04,85,198,23,234.45
Nimble Inn,3001,1019,75.8,4239,2019-05-04,90,384,32,158.55
Ezmeral Grand Hotel,1189,1626,94.0,3658,2019-05-04,87,424,76,178.98
Alletra Boutique Hotel,1564,1398,72.9,4416,2019-05-04,92,320,49,221.58
Simplivity Golden Plaza Hotel,1661,1172,71.1,3358,2019-05-04,66,152,25,227.19
Cray Villas,3871,1319,89.2,3036,2019-05-04,82,386,56,185.93
Apollo Diamond Suites,2227,1877,64.1,3427,2019-05-04,80,395,24,146.18
Apollo Towers,2969,1976,88.9,3428,2019-05-04,87,237,29,239.85
Alletra Diamond Grand Hotel,1776,1461,55.9,4151,2019-05-05,80,184,30,243.36
ProLiant Towers,1333,1656,57.9,4703,2019-05-05,81,365,38,215.07
Aruba Luxury Lodge,1449,1959,72.4,3509,2019-05-05,94,295,41,254.98
InfoSight Boutique Hotel,3174,1284,90.2,3170,2019-05-05,90,437,59,161.15
Primera Grand,2028,1266,81.6,4475,2019-05-05,82,252,38,280.22
dHCI Executive Boutique Hotel,1482,1331,50.8,4658,2019-05-05,74,307,17,219.77
ProLiant Haven,3064,1977,66.4,4200,2019-05-05,76,282,36,268.91
Apollo Executive Beach Resort,1493,1331,87.0,3015,2019-05-05,91,385,44,306.27
Aruba Lodge,2443,1216,89.3,3232,2019-05-05,70,177,25,166.05
Alletra Haven,3580,1994,52.0,3684,2019-05-05,70,308,49,238.92
dHCI Platinum Beach Resort,3709,1556,53.8,4276,2019-05-05,68,302,30,250.41
GreenLake Platinum Heritage Inn,3330,1439,57.3,3192,2019-05-05,66,220,12,176.48
Pointnext Signature Residences & Suites,1246,1799,80.1,4773,2019-05-05,79,340,25,217.24
ProLiant Place,2047,1430,50.8,3645,2019-05-05,90,355,57,275.6
Synergy Golden Grand Hotel,2428,1766,59.9,3576,2019-05-05,81,367,65,185.07
Alletra Resort,3118,1045,89.6,4911,2019-05-05,82,346,60,169.32
GreenLake Digital Business Suites,2075,1163,64.5,4661,2019-05-05,85,195,30,243.71
Apollo Resort & Spa,1059,1968,91.8,4327,2019-05-05,74,258,20,180.64
Nimble Inn,1470,1400,76.7,4563,2019-05-05,70,213,36,245.41
Ezmeral Grand Hotel,1664,1558,94.7,4986,2019-05-05,81,395,38,149.06
Alletra Boutique Hotel,3308,1393,71.9,3553,2019-05-05,77,363,56,213.31
Simplivity Golden Plaza Hotel,1939,1931,90.5,4116,2019-05-05,87,314,34,258.04
Cray Villas,2883,1955,62.8,4911,2019-05-05,62,140,19,220.74
Apollo Diamond Suites,3340,1610,87.7,4894,2019-05-05,71,173,17,171.24
Apollo Towers,2956,1129,92.8,4318,2019-05-05,65,150,29,220.89
Alletra Diamond Grand Hotel,2906,1311,88.3,3032,2019-05-06,78,342,48,279.44
ProLiant Towers,3783,1726,90.9,3169,2019-05-06,60,299,34,114.89
Aruba Luxury Lodge,3962,1418,81.1,3346,2019-05-06,67,165,32,120.53
InfoSight Boutique Hotel,2562,1025,88.5,4406,2019-05-06,57,256,50,134.97
Primera Grand,2284,1004,65.2,4350,2019-05-06,57,189,32,123.57
dHCI Executive Boutique Hotel,1263,1085,75.0,3147,2019-05-06,59,161,8,181.24
ProLiant Haven,3667,1407,60.7,4834,2019-05-06,76,252,33,277.75
Apollo Executive Beach Resort,1369,1633,53.9,4355,2019-05-06,56,181,32,171.06
Aruba Lodge,3813,1143,78.9,4238,2019-05-06,70,260,48,174.19
Alletra Haven,1149,1562,68.1,3893,2019-05-06,58,238,46,201.2
dHCI Platinum Beach Resort,3420,1196,88.7,3143,2019-05-06,58,191,19,215.36
GreenLake Platinum Heritage Inn,1745,1928,60.0,3587,2019-05-06,57,168,17,216.22
Pointnext Signature Residences & Suites,2523,1839,60.8,4272,2019-05-06,54,160,27,179.86
ProLiant Place,3009,1889,84.0,4293,2019-05-06,75,271,18,272.15
Synergy Golden Grand Hotel,1800,1056,75.4,3096,2019-05-06,75,371,57,205.3
Alletra Resort,1536,1480,77.6,4348,2019-05-06,53,234,32,179.33
GreenLake Digital Business Suites,2857,1410,79.5,3141,2019-05-06,72,295,57,240.24
Apollo Resort & Spa,2107,1655,67.1,4706,2019-05-06,57,193,26,113.06
Nimble Inn,1737,1412,94.0,4529,2019-05-06,69,228,31,127.92
Ezmeral Grand Hotel,1806,1007,73.8,4637,2019-05-06,55,113,13,176.53
Alletra Boutique Hotel,3182,1406,88.4,4330,2019-05-06,78,237,42,151.07
Simplivity Golden Plaza Hotel,3896,1182,51.1,3732,2019-05-06,71,217,41,160.2
Cray Villas,2855,1504,66.8,4353,2019-05-06,58,280,44,190.78
Apollo Diamond Suites,3586,1841,79.8,4049,2019-05-06,65,214,35,132.34
Apollo Towers,1106,1211,65.3,3656,2019-05-06,62,164,19,178.76
Alletra Diamond Grand Hotel,3819,1736,74.1,4073,2019-05-07,71,206,17,234.38
ProLiant Towers,3851,1215,79.8,4194,2019-05-07,66,319,22,187.23
Aruba Luxury Lodge,3566,1346,60.5,4659,2019-05-07,71,267,47,258.87
InfoSight Boutique Hotel,2441,1169,58.6,3892,2019-05-07,51,210,21,113.21
Primera Grand,1432,1617,78.7,4969,2019-05-07,52,199,25,177.96
dHCI Executive Boutique Hotel,3152,1961,56.2,3309,2019-05-07,73,188,37,235.97
ProLiant Haven,1147,1459,73.5,3132,2019-05-07,55,247,13,207.17
Apollo Executive Beach Resort,1029,1227,79.6,3574,2019-05-07,73,172,10,261.14
Aruba Lodge,2257,1866,91.8,3413,2019-05-07,68,278,42,227.47
Alletra Haven,2303,1363,69.7,3835,2019-05-07,62,253,17,154.57
dHCI Platinum Beach Resort,1851,1374,56.1,3013,2019-05-07,53,155,11,148.62
GreenLake Platinum Heritage Inn,1114,1532,51.1,3742,2019-05-07,58,202,15,154.57
Pointnext Signature Residences & Suites,1335,1611,57.3,3467,2019-05-07,57,174,25,116.3
ProLiant Place,3046,1152,65.7,3144,2019-05-07,64,272,34,116.61
Synergy Golden Grand Hotel,3247,1638,91.0,4572,2019-05-07,69,150,20,213.21
Alletra Resort,2133,1044,74.2,3981,2019-05-07,53,132,25,159.09
GreenLake Digital Business Suites,2660,1366,84.5,4961,2019-05-07,50,149,14,180.0
Apollo Resort & Spa,1491,1396,75.9,4045,2019-05-07,68,250,44,247.98
Nimble Inn,2560,1110,81.3,3419,2019-05-07,56,218,27,165.94
Ezmeral Grand Hotel,3907,1726,76.9,3796,2019-05-07,61,139,21,129.87
Alletra Boutique Hotel,2617,1675,54.8,3834,2019-05-07,61,227,41,197.18
Simplivity Golden Plaza Hotel,3965,1399,64.0,3983,2019-05-07,78,336,42,255.04
Cray Villas,3207,1829,57.4,4130,2019-05-07,64,133,7,182.81
Apollo Diamond Suites,1043,1443,73.9,4866,2019-05-07,80,350,23,279.48
Apollo Towers,2347,1087,94.6,3743,2019-05-07,79,227,23,157.51
Alletra Diamond Grand Hotel,3755,1626,79.1,3176,2019-05-08,66,165,10,141.5
ProLiant Towers,1498,1785,89.4,4529,2019-05-08,54,269,50,205.28
Aruba Luxury Lodge,3359,1917,56.3,3787,2019-05-08,79,314,54,252.88
InfoSight Boutique Hotel,2408,1407,78.8,3481,2019-05-08,80,187,24,184.14
Primera Grand,1852,1674,91.6,4238,2019-05-08,61,147,28,170.87
dHCI Executive Boutique Hotel,1538,1456,75.2,4391,2019-05-08,75,240,24,262.49
ProLiant Haven,3266,1747,68.8,4901,2019-05-08,79,271,47,233.23
Apollo Executive Beach Resort,1077,1476,56.2,3323,2019-05-08,74,334,21,200.94
Aruba Lodge,1048,1891,78.3,3411,2019-05-08,71,281,52,200.95
Alletra Haven,1782,1665,78.9,3362,2019-05-08,72,258,28,200.68
dHCI Platinum Beach Resort,1943,1785,74.9,3916,2019-05-08,56,159,11,191.51
GreenLake Platinum Heritage Inn,1543,1831,78.5,4067,2019-05-08,59,285,32,160.35
Pointnext Signature Residences & Suites,1688,1567,91.7,4126,2019-05-08,52,180,22,135.44
ProLiant Place,2793,1396,91.3,3197,2019-05-08,65,248,23,244.0
Synergy Golden Grand Hotel,3843,1704,78.8,4023,2019-05-08,74,211,32,132.16
Alletra Resort,3186,1806,83.5,4461,2019-05-08,76,161,30,172.68
GreenLake Digital Business Suites,2684,1816,89.0,4776,2019-05-08,68,288,39,141.58
Apollo Resort & Spa,1377,1245,75.7,4418,2019-05-08,60,253,32,115.66
Nimble Inn,1583,1109,69.1,3364,2019-05-08,59,186,19,172.46
Ezmeral Grand Hotel,3728,1067,69.7,4646,2019-05-08,76,340,61,238.26
Alletra Boutique Hotel,2036,1375,71.9,4715,2019-05-08,66,300,37,205.91
Simplivity Golden Plaza Hotel,2156,1228,58.8,4133,2019-05-08,51,241,15,197.9
Cray Villas,3358,1687,85.7,3849,2019-05-08,78,207,20,239.39
Apollo Diamond Suites,1709,1665,81.4,3225,2019-05-08,65,170,24,117.03
Apollo Towers,2255,1327,82.7,4211,2019-05-08,79,248,45,147.38
Alletra Diamond Grand Hotel,3381,1789,51.7,3522,2019-05-09,59,118,10,205.01
ProLiant Towers,3145,1390,62.2,3477,2019-05-09,76,227,17,185.27
Aruba Luxury Lodge,2490,1100,51.1,4827,2019-05-09,57,177,31,112.1
InfoSight Boutique Hotel,3534,1992,79.9,3930,2019-05-09,54,204,29,131.88
Primera Grand,3822,1997,68.4,4819,2019-05-09,79,258,34,265.47
dHCI Executive Boutique Hotel,2478,1583,54.2,4353,2019-05-09,70,205,39,211.47
ProLiant Haven,3550,1347,60.4,3981,2019-05-09,79,222,34,194.71
Apollo Executive Beach Resort,3452,1167,59.4,4370,2019-05-09,63,197,34,136.88
Aruba Lodge,3286,1911,77.4,4079,2019-05-09,74,256,35,216.73
Alletra Haven,1017,1519,67.3,4490,2019-05-09,62,131,21,127.98
dHCI Platinum Beach Resort,1871,1050,82.1,3773,2019-05-09,72,192,27,138.6
GreenLake Platinum Heritage Inn,3367,1028,73.5,4204,2019-05-09,78,341,20,211.76
Pointnext Signature Residences & Suites,3719,1801,85.3,3307,2019-05-09,55,265,23,179.9
ProLiant Place,1378,1733,92.2,4816,2019-05-09,79,322,29,174.26
Synergy Golden Grand Hotel,3050,1566,71.9,4321,2019-05-09,77,285,18,145.39
Alletra Resort,2564,1790,88.0,4935,2019-05-09,76,353,28,139.15
GreenLake Digital Business Suites,2372,1081,88.4,4277,2019-05-09,77,269,18,280.32
Apollo Resort & Spa,1289,1775,86.4,4100,2019-05-09,65,223,14,119.94
Nimble Inn,2055,1936,79.3,3342,2019-05-09,62,158,25,211.99
Ezmeral Grand Hotel,1685,1528,77.1,3525,2019-05-09,57,188,19,191.17
Alletra Boutique Hotel,2630,1238,79.8,3917,2019-05-09,64,242,13,233.5
Simplivity Golden Plaza Hotel,1549,1128,71.0,3976,2019-05-09,74,364,60,231.29
Cray Villas,1633,1289,64.8,4548,2019-05-09,51,189,36,135.82
Apollo Diamond Suites,2138,1569,70.5,3127,2019-05-09,80,220,16,203.93
Apollo Towers,3692,1955,89.6,4531,2019-05-09,78,306,33,151.88
Alletra Diamond Grand Hotel,1319,1518,93.9,4708,2019-05-10,59,207,17,183.01
ProLiant Towers,2500,1325,69.0,4087,2019-05-10,60,238,27,214.56
Aruba Luxury Lodge,3967,1347,57.4,3302,2019-05-10,52,235,32,131.93
InfoSight Boutique Hotel,1534,1598,89.0,3061,2019-05-10,55,133,25,111.24
Primera Grand,1687,1263,57.4,4998,2019-05-10,71,155,19,123.48
dHCI Executive Boutique Hotel,3165,1652,87.0,4041,2019-05-10,73,183,34,177.07
ProLiant Haven,3199,1192,87.9,3139,2019-05-10,54,254,38,104.64
Apollo Executive Beach Resort,2153,1392,61.3,4735,2019-05-10,50,184,31,176.87
Aruba Lodge,2510,1538,57.8,4001,2019-05-10,53,242,39,106.73
Alletra Haven,1134,1096,88.0,3300,2019-05-10,67,148,21,239.05
dHCI Platinum Beach Resort,3293,1753,92.8,4855,2019-05-10,79,293,31,237.33
GreenLake Platinum Heritage Inn,3270,1496,78.3,4972,2019-05-10,62,207,33,196.68
Pointnext Signature Residences & Suites,3043,1964,87.9,3552,2019-05-10,69,189,37,206.86
ProLiant Place,3274,1921,92.0,3597,2019-05-10,65,309,22,184.74
Synergy Golden Grand Hotel,1509,1853,89.9,4688,2019-05-10,61,162,15,200.18
Alletra Resort,2845,1420,57.5,4569,2019-05-10,80,392,78,271.11
GreenLake Digital Business Suites,3763,1514,75.9,3441,2019-05-10,61,257,29,147.58
Apollo Resort & Spa,1150,1980,78.3,4107,2019-05-10,51,172,26,156.23
Nimble Inn,2311,1686,63.9,3320,2019-05-10,57,282,19,178.42
Ezmeral Grand Hotel,3346,1021,89.4,4658,2019-05-10,56,270,30,152.79
Alletra Boutique Hotel,3087,1141,88.6,3033,2019-05-10,73,245,47,190.67
Simplivity Golden Plaza Hotel,2859,1925,58.4,4738,2019-05-10,60,178,19,196.8
Cray Villas,1303,1436,73.5,3134,2019-05-10,56,153,24,169.66
Apollo Diamond Suites,1185,1178,85.9,4725,2019-05-10,80,369,54,229.02
Apollo Towers,2161,1252,73.6,3400,2019-05-10,78,264,47,251.56
Alletra Diamond Grand Hotel,1328,1580,79.6,3735,2019-05-11,76,221,24,197.48
ProLiant Towers,2721,1236,57.8,4037,2019-05-11,82,275,51,288.74
Aruba Luxury Lodge,1485,1375,56.1,3575,2019-05-11,91,294,23,202.46
InfoSight Boutique Hotel,3956,1378,86.6,4720,2019-05-11,85,338,64,208.4
Primera Grand,2553,1223,78.3,3801,2019-05-11,92,190,15,246.4
dHCI Executive Boutique Hotel,3229,1272,93.3,4551,2019-05-11,64,316,48,212.46
ProLiant Haven,1504,2000,68.2,3552,2019-05-11,81,301,51,155.41
Apollo Executive Beach Resort,3804,1008,81.6,3888,2019-05-11,72,197,31,231.82
Aruba Lodge,1035,1476,89.9,3667,2019-05-11,75,287,47,204.59
Alletra Haven,3665,1277,62.9,4112,2019-05-11,75,302,50,137.86
dHCI Platinum Beach Resort,1435,1629,92.4,4383,2019-05-11,55,164,10,207.47
GreenLake Platinum Heritage Inn,2969,1535,86.5,4171,2019-05-11,69,291,56,161.44
Pointnext Signature Residences & Suites,1525,1172,63.1,4406,2019-05-11,62,239,23,224.16
ProLiant Place,2602,1221,74.6,3762,2019-05-11,76,229,17,172.09
Synergy Golden Grand Hotel,1849,1940,73.9,3089,2019-05-11,88,218,39,166.73
Alletra Resort,1636,1317,90.0,3729,2019-05-11,66,312,34,190.14
GreenLake Digital Business Suites,2047,1754,55.4,4580,2019-05-11,82,336,30,271.07
Apollo Resort & Spa,1702,1419,75.7,3290,2019-05-11,63,251,18,169.06
Nimble Inn,3280,1800,66.2,4893,2019-05-11,79,190,20,188.94
Ezmeral Grand Hotel,2757,1904,94.8,4036,2019-05-11,60,225,44,153.49
Alletra Boutique Hotel,1538,1657,57.8,4448,2019-05-11,78,289,33,131.1
Simplivity Golden Plaza Hotel,3439,1626,92.9,3296,2019-05-11,80,296,54,288.05
Cray Villas,2642,1250,72.8,4465,2019-05-11,88,194,13,190.82
Apollo Diamond Suites,3315,1947,65.0,4287,2019-05-11,69,160,30,251.54
Apollo Towers,1151,1616,79.7,3027,2019-05-11,71,210,32,255.72
Alletra Diamond Grand Hotel,3058,1899,58.3,4484,2019-05-12,62,236,40,113.98
ProLiant Towers,3833,1584,57.6,4592,2019-05-12,92,299,22,298.63
Aruba Luxury Lodge,2628,1491,78.5,4161,2019-05-12,69,196,25,245.4
InfoSight Boutique Hotel,3161,1433,87.8,4689,2019-05-12,75,353,20,160.82
Primera Grand,1699,1387,50.6,4326,2019-05-12,68,227,26,123.5
dHCI Executive Boutique Hotel,3583,1542,56.2,3077,2019-05-12,88,296,18,235.02
ProLiant Haven,2527,1760,80.2,3934,2019-05-12,68,138,18,159.17
Apollo Executive Beach Resort,2012,1243,64.3,3886,2019-05-12,68,213,11,209.38
Aruba Lodge,2720,1302,54.3,4051,2019-05-12,83,249,42,274.7
Alletra Haven,1965,1768,83.4,4347,2019-05-12,86,277,28,298.18
dHCI Platinum Beach Resort,3246,1008,54.9,3453,2019-05-12,82,299,36,175.73
GreenLake Platinum Heritage Inn,3543,1361,55.9,4505,2019-05-12,91,432,27,262.25
Pointnext Signature Residences & Suites,3725,1022,69.0,3012,2019-05-12,73,342,18,141.76
ProLiant Place,1179,1879,61.8,4345,2019-05-12,80,218,16,140.39
Synergy Golden Grand Hotel,1059,1400,64.0,4133,2019-05-12,76,329,59,127.47
Alletra Resort,3965,1746,85.9,3672,2019-05-12,60,276,39,128.75
GreenLake Digital Business Suites,1828,1433,83.5,3543,2019-05-12,82,319,31,241.05
Apollo Resort & Spa,1931,1867,52.4,4350,2019-05-12,75,162,11,262.7
Nimble Inn,3380,1994,80.5,3284,2019-05-12,85,217,34,150.57
Ezmeral Grand Hotel,1389,1223,51.3,3246,2019-05-12,78,210,12,140.39
Alletra Boutique Hotel,3480,1139,75.7,3818,2019-05-12,75,269,32,154.59
Simplivity Golden Plaza Hotel,1230,1548,88.3,3889,2019-05-12,79,325,39,244.59
Cray Villas,1312,1486,53.3,4222,2019-05-12,73,242,30,134.62
Apollo Diamond Suites,3658,1486,80.6,4365,2019-05-12,65,158,20,241.45
Apollo Towers,2020,1824,82.5,4114,2019-05-12,78,320,19,157.18
Alletra Diamond Grand Hotel,1184,1314,65.2,3623,2019-05-13,60,256,21,157.36
ProLiant Towers,3541,1774,50.3,4599,2019-05-13,76,287,40,203.01
Aruba Luxury Lodge,1739,1506,89.8,4292,2019-05-13,59,156,13,149.68
InfoSight Boutique Hotel,2947,1304,64.7,3608,2019-05-13,57,204,30,217.37
Primera Grand,1504,1307,58.2,3858,2019-05-13,58,164,12,115.15
dHCI Executive Boutique Hotel,1836,1042,79.1,4902,2019-05-13,65,197,31,195.58
ProLiant Haven,2013,1915,86.8,3967,2019-05-13,76,250,37,262.59
Apollo Executive Beach Resort,2228,1759,70.0,4927,2019-05-13,64,130,21,125.29
Aruba Lodge,2188,1953,53.7,3018,2019-05-13,68,293,54,212.94
Alletra Haven,3405,1243,90.5,3079,2019-05-13,69,278,16,155.22
dHCI Platinum Beach Resort,2093,1236,88.5,3524,2019-05-13,76,224,23,249.27
GreenLake Platinum Heritage Inn,2963,1758,89.4,4229,2019-05-13,61,213,35,149.24
Pointnext Signature Residences & Suites,2144,1385,77.1,3179,2019-05-13,73,187,25,129.23
ProLiant Place,2909,1626,57.2,4720,2019-05-13,61,196,35,150.57
Synergy Golden Grand Hotel,2369,1341,75.8,3685,2019-05-13,75,340,66,194.54
Alletra Resort,2059,1484,74.5,3609,2019-05-13,78,264,19,243.11
GreenLake Digital Business Suites,3043,1041,61.4,3493,2019-05-13,62,202,10,129.29
Apollo Resort & Spa,2224,1478,71.6,3238,2019-05-13,60,188,33,127.93
Nimble Inn,3873,1473,92.4,3131,2019-05-13,61,124,20,191.74
Ezmeral Grand Hotel,3934,1790,58.6,4677,2019-05-13,55,134,25,128.87
Alletra Boutique Hotel,2257,1115,56.2,4686,2019-05-13,50,158,11,133.73
Simplivity Golden Plaza Hotel,2264,1530,61.8,3695,2019-05-13,50,174,12,182.98
Cray Villas,3750,1730,90.3,3512,2019-05-13,77,280,23,201.93
Apollo Diamond Suites,3275,1965,73.9,4350,2019-05-13,73,255,29,247.33
Apollo Towers,1423,1325,75.8,4361,2019-05-13,65,318,18,239.99
Alletra Diamond Grand Hotel,2888,1777,61.9,3188,2019-05-14,52,252,39,165.21
ProLiant Towers,2223,1268,51.5,3073,2019-05-14,54,146,27,190.79
Aruba Luxury Lodge,1667,1720,79.2,3182,2019-05-14,63,218,42,192.57
InfoSight Boutique Hotel,1413,1256,63.6,4089,2019-05-14,60,233,35,161.48
Primera Grand,1005,1328,73.5,3585,2019-05-14,53,201,26,139.16
dHCI Executive Boutique Hotel,1245,1772,76.6,3463,2019-05-14,61,269,48,156.09
ProLiant Haven,3262,1626,76.9,3440,2019-05-14,65,142,16,169.21
Apollo Executive Beach Resort,2500,1239,90.1,3906,2019-05-14,56,270,41,207.94
Aruba Lodge,3048,1724,56.0,3393,2019-05-14,78,229,42,279.71
Alletra Haven,1941,1212,83.5,3136,2019-05-14,75,213,21,244.07
dHCI Platinum Beach Resort,2269,1490,66.1,3739,2019-05-14,72,185,12,168.34
GreenLake Platinum Heritage Inn,3664,1735,51.7,3559,2019-05-14,70,260,48,219.13
Pointnext Signature Residences & Suites,2383,1395,65.7,3398,2019-05-14,69,187,32,186.43
ProLiant Place,3396,1556,90.7,3668,2019-05-14,65,303,29,229.49
Synergy Golden Grand Hotel,3634,1072,66.7,3743,2019-05-14,62,263,37,122.08
Alletra Resort,3776,1277,80.6,3381,2019-05-14,65,220,40,238.13
GreenLake Digital Business Suites,1179,1262,71.4,4988,2019-05-14,73,204,23,236.51
Apollo Resort & Spa,1974,1285,56.3,4423,2019-05-14,75,323,50,179.57
Nimble Inn,2515,1773,57.7,4280,2019-05-14,74,161,14,217.69
Ezmeral Grand Hotel,2460,1281,56.1,3094,2019-05-14,60,184,26,177.43
Alletra Boutique Hotel,3505,1696,91.7,3490,2019-05-14,75,211,20,272.79
Simplivity Golden Plaza Hotel,3735,1212,66.8,4010,2019-05-14,69,320,25,230.88
Cray Villas,1981,1219,90.3,4088,2019-05-14,56,272,37,119.48
Apollo Diamond Suites,1301,1238,63.1,3641,2019-05-14,73,159,29,199.43
Apollo Towers,1204,1360,60.3,4944,2019-05-14,66,187,31,171.83
Alletra Diamond Grand Hotel,2584,1898,85.4,3086,2019-05-15,76,346,32,157.04
ProLiant Towers,2784,1252,92.3,3833,2019-05-15,59,122,18,198.96
Aruba Luxury Lodge,3062,1182,90.5,4554,2019-05-15,52,161,26,205.27
InfoSight Boutique Hotel,1725,1510,88.5,4986,2019-05-15,64,248,33,190.01
Primera Grand,1401,1165,90.0,4455,2019-05-15,74,217,41,191.48
dHCI Executive Boutique Hotel,2940,1397,75.5,3554,2019-05-15,56,230,27,124.24
ProLiant Haven,2365,1079,90.1,4453,2019-05-15,54,160,8,109.66
Apollo Executive Beach Resort,2007,2000,62.2,4818,2019-05-15,60,219,23,147.83
Aruba Lodge,3231,1630,72.5,3661,2019-05-15,73,228,12,186.4
Alletra Haven,2473,1222,53.7,3429,2019-05-15,60,191,18,210.33
dHCI Platinum Beach Resort,3797,1466,72.2,3370,2019-05-15,51,200,19,178.16
GreenLake Platinum Heritage Inn,3917,1249,58.9,4844,2019-05-15,51,237,13,174.16
Pointnext Signature Residences & Suites,1126,1623,94.2,3092,2019-05-15,54,188,35,119.11
ProLiant Place,2210,1945,90.4,3087,2019-05-15,53,189,36,127.91
Synergy Golden Grand Hotel,1757,1160,82.0,3394,2019-05-15,74,227,23,136.01
Alletra Resort,1010,1584,72.8,3055,2019-05-15,60,255,31,175.41
GreenLake Digital Business Suites,2540,1817,73.9,3628,2019-05-15,66,214,36,207.69
Apollo Resort & Spa,2635,1291,86.8,3723,2019-05-15,67,299,51,177.1
Nimble Inn,3659,1366,76.1,3527,2019-05-15,53,227,40,127.1
Ezmeral Grand Hotel,3892,1103,75.9,3369,2019-05-15,51,200,26,106.35
Alletra Boutique Hotel,2427,1398,82.3,3642,2019-05-15,76,310,37,132.41
Simplivity Golden Plaza Hotel,1122,1309,74.3,3933,2019-05-15,74,199,14,252.83
Cray Villas,1277,1149,71.6,4908,2019-05-15,66,195,21,199.73
Apollo Diamond Suites,1345,1931,53.6,3523,2019-05-15,62,127,20,173.04
Apollo Towers,2159,1374,71.5,4250,2019-05-15,71,294,32,130.65
Alletra Diamond Grand Hotel,3137,1880,58.9,3229,2019-05-16,56,211,17,171.27
ProLiant Towers,2478,1634,61.0,3386,2019-05-16,50,152,9,188.16
Aruba Luxury Lodge,1490,1636,65.9,4401,2019-05-16,66,309,23,144.09
InfoSight Boutique Hotel,2546,1549,59.2,3419,2019-05-16,67,135,19,200.45
Primera Grand,3999,1026,82.4,4590,2019-05-16,58,212,26,126.54
dHCI Executive Boutique Hotel,2174,1693,88.4,3616,2019-05-16,56,238,21,127.93
ProLiant Haven,1954,1181,59.4,4133,2019-05-16,78,216,14,172.52
Apollo Executive Beach Resort,2721,1616,58.5,3356,2019-05-16,50,166,32,167.18
Aruba Lodge,2216,1021,56.7,3309,2019-05-16,74,238,18,130.17
Alletra Haven,2777,1351,63.7,4094,2019-05-16,75,174,33,155.84
dHCI Platinum Beach Resort,1954,1563,77.9,4608,2019-05-16,74,274,44,247.27
GreenLake Platinum Heritage Inn,2152,1685,57.9,3414,2019-05-16,71,187,25,164.08
Pointnext Signature Residences & Suites,1224,1767,80.0,3257,2019-05-16,64,138,19,186.56
ProLiant Place,1980,1462,94.1,4191,2019-05-16,78,353,29,131.71
Synergy Golden Grand Hotel,3835,1346,53.2,4794,2019-05-16,50,132,10,133.39
Alletra Resort,2864,1963,74.9,4447,2019-05-16,65,314,34,157.56
GreenLake Digital Business Suites,2488,1536,50.6,3230,2019-05-16,62,235,17,172.97
Apollo Resort & Spa,3013,1858,63.2,4174,2019-05-16,67,253,42,206.38
Nimble Inn,2725,1610,63.7,4034,2019-05-16,80,219,31,271.51
Ezmeral Grand Hotel,1445,1968,66.8,3498,2019-05-16,77,161,9,128.73
Alletra Boutique Hotel,2023,1280,58.8,4208,2019-05-16,58,277,26,152.24
Simplivity Golden Plaza Hotel,1808,1935,94.0,3897,2019-05-16,68,332,21,168.05
Cray Villas,2719,1506,74.4,4700,2019-05-16,70,180,20,242.7
Apollo Diamond Suites,1141,1054,52.2,4901,2019-05-16,52,147,21,132.94
Apollo Towers,3992,1714,60.1,3201,2019-05-16,51,239,22,127.8
Alletra Diamond Grand Hotel,1554,1786,63.4,4851,2019-05-17,79,378,74,273.5
ProLiant Towers,2041,1409,52.9,4991,2019-05-17,53,252,40,175.27
Aruba Luxury Lodge,1508,1640,57.8,3996,2019-05-17,50,232,44,117.46
InfoSight Boutique Hotel,2403,1735,56.3,4375,2019-05-17,53,119,10,195.2
Primera Grand,3133,1740,89.4,3549,2019-05-17,68,277,25,121.07
dHCI Executive Boutique Hotel,2996,1369,73.4,3881,2019-05-17,68,233,37,138.85
ProLiant Haven,1966,1928,60.8,3113,2019-05-17,52,166,17,105.86
Apollo Executive Beach Resort,2994,1515,95.0,3850,2019-05-17,63,282,31,235.59
