hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha
GreenLake Platinum Heritage Inn,2201,1540,64.0,3775,2020-08-02
Pointnext Signature Residences & Suites,2111,1570,82.4,3566,2020-08-02
ProLiant Place,1974,1912,70.1,4069,2020-08-02
Synergy Golden Grand Hotel,1259,1257,63.5,4234,2020-08-02
Alletra Resort,1157,1504,94.7,3892,2020-08-02
GreenLake Digital Business Suites,2304,1286,71.1,4715,2020-08-02
Apollo Resort & Spa,3728,1463,54.6,4050,2020-08-02
Nimble Inn,3752,1284,93.7,3757,2020-08-02
Ezmeral Grand Hotel,2302,1336,91.8,4461,2020-08-02
Alletra Boutique Hotel,3833,1212,72.0,3836,2020-08-02
Simplivity Golden Plaza Hotel,3698,1065,79.2,4203,2020-08-02
Cray Villas,2244,1168,67.6,3031,2020-08-02
Apollo Diamond Suites,2981,1828,50.7,3293,2020-08-02
Apollo Towers,3714,1379,92.7,3478,2020-08-02
Alletra Diamond Grand Hotel,1757,1127,60.2,4122,2020-08-03
ProLiant Towers,1867,1485,79.3,3163,2020-08-03
Aruba Luxury Lodge,3271,1607,92.5,3521,2020-08-03
InfoSight Boutique Hotel,1048,1629,67.3,4748,2020-08-03
Primera Grand,2317,1363,63.6,3708,2020-08-03
dHCI Executive Boutique Hotel,1798,1388,90.9,3667,2020-08-03
ProLiant Haven,3464,1551,50.8,4770,2020-08-03
Apollo Executive Beach Resort,2836,1872,82.4,4635,2020-08-03
Aruba Lodge,1574,1906,76.9,4428,2020-08-03
Alletra Haven,1170,1610,94.9,3217,2020-08-03
dHCI Platinum Beach Resort,3815,1666,70.2,3733,2020-08-03
GreenLake Platinum Heritage Inn,2735,1187,86.6,3224,2020-08-03
Pointnext Signature Residences & Suites,1239,1458,93.1,4229,2020-08-03
ProLiant Place,2802,1919,66.0,4808,2020-08-03
Synergy Golden Grand Hotel,3337,1920,81.1,4663,2020-08-03
Alletra Resort,2704,1068,65.6,3014,2020-08-03
GreenLake Digital Business Suites,1396,1823,87.4,4531,2020-08-03
Apollo Resort & Spa,1525,1344,77.5,4846,2020-08-03
Nimble Inn,3116,1831,67.3,4500,2020-08-03
Ezmeral Grand Hotel,1552,1550,71.6,4812,2020-08-03
Alletra Boutique Hotel,1170,1764,77.9,3287,2020-08-03
Simplivity Golden Plaza Hotel,2451,1415,55.1,4236,2020-08-03
Cray Villas,2594,1369,64.9,4310,2020-08-03
Apollo Diamond Suites,3633,1019,59.6,4922,2020-08-03
Apollo Towers,1663,1381,69.7,3516,2020-08-03
Alletra Diamond Grand Hotel,1794,1321,61.9,4673,2020-08-04
ProLiant Towers,3115,1733,90.1,3265,2020-08-04
Aruba Luxury Lodge,2573,1340,86.9,3005,2020-08-04
InfoSight Boutique Hotel,1904,1503,86.9,4409,2020-08-04
Primera Grand,3986,1533,63.1,3120,2020-08-04
dHCI Executive Boutique Hotel,1507,1299,83.4,4703,2020-08-04
ProLiant Haven,1810,1142,93.5,4720,2020-08-04
Apollo Executive Beach Resort,1611,1850,61.8,3678,2020-08-04
Aruba Lodge,3595,1428,78.6,3090,2020-08-04
Alletra Haven,1344,1663,66.1,4926,2020-08-04
dHCI Platinum Beach Resort,1171,1787,58.5,4597,2020-08-04
GreenLake Platinum Heritage Inn,1529,1544,79.1,4025,2020-08-04
Pointnext Signature Residences & Suites,1283,1214,93.2,4990,2020-08-04
ProLiant Place,1446,1002,77.1,3064,2020-08-04
Synergy Golden Grand Hotel,1061,1186,77.7,4612,2020-08-04
Alletra Resort,1707,1710,59.1,3452,2020-08-04
GreenLake Digital Business Suites,2025,1480,65.3,4106,2020-08-04
Apollo Resort & Spa,2218,1531,64.6,4461,2020-08-04
Nimble Inn,2852,1607,51.4,4486,2020-08-04
Ezmeral Grand Hotel,3676,1844,72.0,4113,2020-08-04
Alletra Boutique Hotel,3433,1898,77.8,3990,2020-08-04
Simplivity Golden Plaza Hotel,2243,1086,90.9,3199,2020-08-04
Cray Villas,2421,1496,81.8,4954,2020-08-04
Apollo Diamond Suites,3438,1162,50.6,3539,2020-08-04
Apollo Towers,1654,1347,61.4,3979,2020-08-04
Alletra Diamond Grand Hotel,2940,1388,51.8,3583,2020-08-05
ProLiant Towers,1838,1627,64.5,3759,2020-08-05
Aruba Luxury Lodge,1164,1735,82.3,4062,2020-08-05
InfoSight Boutique Hotel,2764,1267,51.8,3477,2020-08-05
Primera Grand,3959,1250,62.2,4571,2020-08-05
dHCI Executive Boutique Hotel,3587,1266,50.2,4988,2020-08-05
ProLiant Haven,2299,1751,55.4,4862,2020-08-05
Apollo Executive Beach Resort,1614,1227,88.7,4840,2020-08-05
Aruba Lodge,1048,1917,57.3,4530,2020-08-05
Alletra Haven,3576,1426,88.4,3793,2020-08-05
dHCI Platinum Beach Resort,2310,1925,67.2,4607,2020-08-05
GreenLake Platinum Heritage Inn,3889,1092,61.9,3082,2020-08-05
Pointnext Signature Residences & Suites,2935,1473,79.0,4875,2020-08-05
ProLiant Place,3903,1915,56.7,4322,2020-08-05
Synergy Golden Grand Hotel,3083,1748,51.3,3877,2020-08-05
Alletra Resort,3250,1475,64.9,4675,2020-08-05
GreenLake Digital Business Suites,3521,1123,93.4,4885,2020-08-05
Apollo Resort & Spa,3756,1881,91.9,4415,2020-08-05
Nimble Inn,1486,1590,86.4,3924,2020-08-05
Ezmeral Grand Hotel,1052,1293,71.4,3925,2020-08-05
Alletra Boutique Hotel,1696,1064,72.3,4545,2020-08-05
Simplivity Golden Plaza Hotel,2323,1426,58.0,4941,2020-08-05
Cray Villas,3156,1052,90.5,4279,2020-08-05
Apollo Diamond Suites,2923,1922,57.7,4111,2020-08-05
Apollo Towers,1319,1669,82.1,3279,2020-08-05
Alletra Diamond Grand Hotel,3632,1227,70.7,3555,2020-08-06
ProLiant Towers,3288,1658,61.5,4786,2020-08-06
Aruba Luxury Lodge,1309,1686,88.1,3614,2020-08-06
InfoSight Boutique Hotel,1015,1652,88.7,4053,2020-08-06
Primera Grand,2140,1183,59.5,3868,2020-08-06
dHCI Executive Boutique Hotel,1597,1585,90.8,3274,2020-08-06
ProLiant Haven,2575,1494,83.2,3850,2020-08-06
Apollo Executive Beach Resort,2513,1198,83.4,3222,2020-08-06
Aruba Lodge,3733,1201,65.3,4227,2020-08-06
Alletra Haven,2611,1604,87.4,4406,2020-08-06
dHCI Platinum Beach Resort,2874,1167,65.7,4576,2020-08-06
GreenLake Platinum Heritage Inn,2377,1904,86.3,3871,2020-08-06
Pointnext Signature Residences & Suites,2169,1947,70.3,3727,2020-08-06
ProLiant Place,3559,1392,54.8,4416,2020-08-06
Synergy Golden Grand Hotel,2296,1135,87.8,4327,2020-08-06
Alletra Resort,1463,1156,55.4,4636,2020-08-06
GreenLake Digital Business Suites,2355,1847,65.9,4259,2020-08-06
Apollo Resort & Spa,2137,1322,51.7,4196,2020-08-06
Nimble Inn,3338,1231,90.4,3914,2020-08-06
Ezmeral Grand Hotel,1554,1190,88.8,3603,2020-08-06
Alletra Boutique Hotel,2634,1335,85.6,3647,2020-08-06
Simplivity Golden Plaza Hotel,2775,1491,67.7,4048,2020-08-06
Cray Villas,2415,1866,67.0,3797,2020-08-06
Apollo Diamond Suites,3435,1172,82.4,3900,2020-08-06
Apollo Towers,3104,1618,61.1,3055,2020-08-06
Alletra Diamond Grand Hotel,3993,1392,58.7,4925,2020-08-07
ProLiant Towers,1438,1297,61.4,4617,2020-08-07
Aruba Luxury Lodge,3782,1983,94.1,4299,2020-08-07
InfoSight Boutique Hotel,2760,1953,84.0,3697,2020-08-07
Primera Grand,1026,1313,77.1,3949,2020-08-07
dHCI Executive Boutique Hotel,2569,1191,54.6,3432,2020-08-07
ProLiant Haven,3536,1053,73.1,3327,2020-08-07
Apollo Executive Beach Resort,3312,1875,78.1,4887,2020-08-07
Aruba Lodge,3795,1172,85.9,4977,2020-08-07
Alletra Haven,3966,1152,81.1,4099,2020-08-07
dHCI Platinum Beach Resort,2121,1019,86.1,4395,2020-08-07
GreenLake Platinum Heritage Inn,1628,1893,91.3,3680,2020-08-07
Pointnext Signature Residences & Suites,1958,1371,85.6,4399,2020-08-07
ProLiant Place,2874,1052,73.6,4534,2020-08-07
Synergy Golden Grand Hotel,3756,1458,57.6,4331,2020-08-07
Alletra Resort,1687,1353,90.8,3006,2020-08-07
GreenLake Digital Business Suites,1112,1110,61.0,3071,2020-08-07
Apollo Resort & Spa,1882,1190,57.8,3884,2020-08-07
Nimble Inn,1114,1473,67.8,3212,2020-08-07
Ezmeral Grand Hotel,1777,1403,74.5,4979,2020-08-07
Alletra Boutique Hotel,3834,1131,69.8,3329,2020-08-07
Simplivity Golden Plaza Hotel,1207,1141,54.1,4615,2020-08-07
Cray Villas,3485,1783,69.5,3278,2020-08-07
Apollo Diamond Suites,1467,1974,68.9,4563,2020-08-07
Apollo Towers,3848,1254,93.1,4223,2020-08-07
Alletra Diamond Grand Hotel,3049,1291,84.2,4943,2020-08-08
ProLiant Towers,1552,1019,56.2,3580,2020-08-08
Aruba Luxury Lodge,2112,1950,65.2,3082,2020-08-08
InfoSight Boutique Hotel,2593,1741,60.7,3504,2020-08-08
Primera Grand,3688,1425,79.7,4627,2020-08-08
dHCI Executive Boutique Hotel,2785,1602,71.3,3265,2020-08-08
ProLiant Haven,1578,1788,66.7,4509,2020-08-08
Apollo Executive Beach Resort,3808,1017,72.4,3393,2020-08-08
Aruba Lodge,2725,1712,94.2,3609,2020-08-08
Alletra Haven,2425,1165,75.0,4933,2020-08-08
dHCI Platinum Beach Resort,2979,1600,83.5,4238,2020-08-08
GreenLake Platinum Heritage Inn,1446,1770,64.8,3611,2020-08-08
Pointnext Signature Residences & Suites,2924,1428,87.8,4829,2020-08-08
ProLiant Place,1804,1670,92.2,3479,2020-08-08
Synergy Golden Grand Hotel,1611,1379,63.8,4672,2020-08-08
Alletra Resort,1598,1970,75.7,3888,2020-08-08
GreenLake Digital Business Suites,3476,1878,55.8,3812,2020-08-08
Apollo Resort & Spa,2452,1166,91.4,4410,2020-08-08
Nimble Inn,3999,1114,55.9,3593,2020-08-08
Ezmeral Grand Hotel,2542,1669,73.6,4407,2020-08-08
Alletra Boutique Hotel,2434,1440,65.2,3776,2020-08-08
Simplivity Golden Plaza Hotel,1421,1812,65.2,3771,2020-08-08
Cray Villas,1122,1173,57.4,3990,2020-08-08
Apollo Diamond Suites,3270,1454,57.4,3068,2020-08-08
Apollo Towers,3051,1806,63.6,3758,2020-08-08
Alletra Diamond Grand Hotel,1940,1033,80.1,3146,2020-08-09
ProLiant Towers,2739,1047,94.5,4174,2020-08-09
Aruba Luxury Lodge,1162,1371,58.3,3326,2020-08-09
InfoSight Boutique Hotel,3094,1249,68.9,4148,2020-08-09
Primera Grand,1177,1534,86.2,3193,2020-08-09
dHCI Executive Boutique Hotel,3293,1085,76.2,3185,2020-08-09
ProLiant Haven,1808,1771,86.8,4215,2020-08-09
Apollo Executive Beach Resort,2234,1609,67.2,3628,2020-08-09
Aruba Lodge,2520,1600,51.2,3703,2020-08-09
Alletra Haven,1743,1789,57.0,4359,2020-08-09
dHCI Platinum Beach Resort,3100,1297,86.5,4299,2020-08-09
GreenLake Platinum Heritage Inn,2905,1789,76.9,4566,2020-08-09
Pointnext Signature Residences & Suites,2326,1405,73.2,4401,2020-08-09
ProLiant Place,2253,1505,65.8,4133,2020-08-09
Synergy Golden Grand Hotel,3111,1974,72.4,3012,2020-08-09
Alletra Resort,1636,1758,54.3,4136,2020-08-09
GreenLake Digital Business Suites,3585,1108,77.9,4273,2020-08-09
Apollo Resort & Spa,3616,1426,59.6,3956,2020-08-09
Nimble Inn,1809,1405,89.8,4981,2020-08-09
Ezmeral Grand Hotel,1881,1983,82.3,4736,2020-08-09
Alletra Boutique Hotel,2624,1344,55.1,4243,2020-08-09
Simplivity Golden Plaza Hotel,1902,1541,68.4,4056,2020-08-09
Cray Villas,1954,1238,68.2,4718,2020-08-09
Apollo Diamond Suites,3943,1994,52.0,3667,2020-08-09
Apollo Towers,2838,1546,54.2,4515,2020-08-09
Alletra Diamond Grand Hotel,1313,1528,84.5,4543,2020-08-10
ProLiant Towers,2494,1303,72.8,4048,2020-08-10
Aruba Luxury Lodge,3641,1860,60.2,3649,2020-08-10
InfoSight Boutique Hotel,3974,1537,59.8,3116,2020-08-10
Primera Grand,1496,1780,80.9,3583,2020-08-10
dHCI Executive Boutique Hotel,1172,1428,75.9,4804,2020-08-10
ProLiant Haven,2770,1544,73.1,4151,2020-08-10
Apollo Executive Beach Resort,2307,1333,66.8,4797,2020-08-10
Aruba Lodge,1781,1330,84.9,3685,2020-08-10
Alletra Haven,3087,1488,54.9,3573,2020-08-10
dHCI Platinum Beach Resort,2355,1521,76.9,4202,2020-08-10
GreenLake Platinum Heritage Inn,1300,1915,53.8,4611,2020-08-10
Pointnext Signature Residences & Suites,3869,1278,79.6,3713,2020-08-10
ProLiant Place,3814,1826,69.8,3909,2020-08-10
Synergy Golden Grand Hotel,2099,1072,77.7,4963,2020-08-10
Alletra Resort,3181,1570,52.5,3983,2020-08-10
GreenLake Digital Business Suites,3872,1577,88.4,4804,2020-08-10
Apollo Resort & Spa,2095,1589,61.3,3166,2020-08-10
Nimble Inn,2325,1361,91.1,3398,2020-08-10
Ezmeral Grand Hotel,2237,1752,82.8,3907,2020-08-10
Alletra Boutique Hotel,1588,1847,82.9,4763,2020-08-10
Simplivity Golden Plaza Hotel,2590,1452,82.4,4420,2020-08-10
Cray Villas,2414,1447,79.1,4655,2020-08-10
Apollo Diamond Suites,1582,1838,56.3,3235,2020-08-10
Apollo Towers,2892,1691,68.6,4063,2020-08-10
Alletra Diamond Grand Hotel,1070,1423,66.3,4068,2020-08-11
ProLiant Towers,1069,1451,57.0,3640,2020-08-11
Aruba Luxury Lodge,3863,1278,66.7,4153,2020-08-11
InfoSight Boutique Hotel,1001,1531,76.3,3556,2020-08-11
Primera Grand,1670,1456,64.1,3321,2020-08-11
dHCI Executive Boutique Hotel,1653,1499,92.3,3779,2020-08-11
ProLiant Haven,1213,1741,76.5,4867,2020-08-11
Apollo Executive Beach Resort,1404,1727,84.2,4354,2020-08-11
Aruba Lodge,1756,1145,89.9,4653,2020-08-11
Alletra Haven,2302,1168,90.6,4320,2020-08-11
dHCI Platinum Beach Resort,1930,1510,81.7,4213,2020-08-11
GreenLake Platinum Heritage Inn,1936,1752,59.4,4887,2020-08-11
Pointnext Signature Residences & Suites,3461,1608,62.9,3484,2020-08-11
ProLiant Place,2494,1594,80.4,3010,2020-08-11
Synergy Golden Grand Hotel,2399,1413,53.9,4810,2020-08-11
Alletra Resort,3832,1376,89.2,4921,2020-08-11
GreenLake Digital Business Suites,1807,1032,78.2,3957,2020-08-11
Apollo Resort & Spa,1190,1994,86.8,3193,2020-08-11
Nimble Inn,1086,1466,78.2,4899,2020-08-11
Ezmeral Grand Hotel,2526,1111,62.2,4263,2020-08-11
Alletra Boutique Hotel,1376,1398,72.9,4307,2020-08-11
Simplivity Golden Plaza Hotel,2368,1668,74.5,4207,2020-08-11
Cray Villas,1872,1993,78.8,3091,2020-08-11
Apollo Diamond Suites,2669,1949,62.9,3601,2020-08-11
Apollo Towers,3579,1600,65.2,3781,2020-08-11
Alletra Diamond Grand Hotel,1191,1075,85.8,3567,2020-08-12
ProLiant Towers,2009,1794,75.7,4764,2020-08-12
Aruba Luxury Lodge,2921,1529,68.3,3185,2020-08-12
InfoSight Boutique Hotel,3802,1689,83.7,4630,2020-08-12
Primera Grand,2068,1344,54.0,3808,2020-08-12
dHCI Executive Boutique Hotel,3026,1045,61.7,4795,2020-08-12
ProLiant Haven,3969,1566,78.4,3810,2020-08-12
Apollo Executive Beach Resort,3176,1228,65.3,4216,2020-08-12
Aruba Lodge,3232,1204,87.4,4725,2020-08-12
Alletra Haven,3167,1392,57.5,3401,2020-08-12
dHCI Platinum Beach Resort,2862,1486,86.8,3344,2020-08-12
GreenLake Platinum Heritage Inn,1331,1125,68.7,4925,2020-08-12
Pointnext Signature Residences & Suites,1909,1111,66.2,4574,2020-08-12
ProLiant Place,2930,1304,85.5,4867,2020-08-12
Synergy Golden Grand Hotel,3470,1820,75.9,3599,2020-08-12
Alletra Resort,1897,1063,88.8,4490,2020-08-12
GreenLake Digital Business Suites,1709,1171,88.7,4632,2020-08-12
Apollo Resort & Spa,2556,1929,84.0,3364,2020-08-12
Nimble Inn,3414,1462,82.6,4164,2020-08-12
Ezmeral Grand Hotel,2319,1124,81.2,3634,2020-08-12
Alletra Boutique Hotel,1523,1112,56.5,3936,2020-08-12
Simplivity Golden Plaza Hotel,2252,1341,62.4,4517,2020-08-12
Cray Villas,1156,1772,71.9,3253,2020-08-12
Apollo Diamond Suites,1898,1576,87.4,3237,2020-08-12
Apollo Towers,3366,1418,58.2,3467,2020-08-12
Alletra Diamond Grand Hotel,1409,1905,76.6,4758,2020-08-13
ProLiant Towers,2610,1477,92.7,4143,2020-08-13
Aruba Luxury Lodge,2810,1949,92.9,4022,2020-08-13
InfoSight Boutique Hotel,1462,1360,64.4,4397,2020-08-13
Primera Grand,1628,1290,86.2,3348,2020-08-13
dHCI Executive Boutique Hotel,3942,1644,55.9,3111,2020-08-13
ProLiant Haven,2445,1909,70.0,3598,2020-08-13
Apollo Executive Beach Resort,2561,1780,77.2,4403,2020-08-13
Aruba Lodge,2524,1427,67.2,3620,2020-08-13
Alletra Haven,1663,1612,85.5,3479,2020-08-13
dHCI Platinum Beach Resort,3327,1880,61.7,3647,2020-08-13
GreenLake Platinum Heritage Inn,3751,1558,72.8,3040,2020-08-13
Pointnext Signature Residences & Suites,3349,1228,86.2,4323,2020-08-13
ProLiant Place,1376,1273,73.8,3016,2020-08-13
Synergy Golden Grand Hotel,3594,1292,72.1,4987,2020-08-13
Alletra Resort,1935,1746,78.2,4192,2020-08-13
GreenLake Digital Business Suites,3659,1089,90.9,3062,2020-08-13
Apollo Resort & Spa,3403,1885,71.6,4156,2020-08-13
Nimble Inn,2166,1349,77.4,3266,2020-08-13
Ezmeral Grand Hotel,1614,1691,75.3,4534,2020-08-13
Alletra Boutique Hotel,3736,1971,77.6,3709,2020-08-13
Simplivity Golden Plaza Hotel,3612,1498,85.4,4093,2020-08-13
Cray Villas,3705,1459,71.3,4133,2020-08-13
Apollo Diamond Suites,1731,1175,66.0,4461,2020-08-13
Apollo Towers,2421,1853,72.7,3455,2020-08-13
Alletra Diamond Grand Hotel,1523,1293,57.9,4987,2020-08-14
ProLiant Towers,3484,1035,69.6,3050,2020-08-14
Aruba Luxury Lodge,1857,1398,76.5,3805,2020-08-14
InfoSight Boutique Hotel,2263,1169,64.6,4742,2020-08-14
Primera Grand,3347,1434,54.0,4543,2020-08-14
dHCI Executive Boutique Hotel,2805,1810,83.2,3403,2020-08-14
ProLiant Haven,3553,1265,57.0,3287,2020-08-14
Apollo Executive Beach Resort,3190,1626,79.1,4966,2020-08-14
Aruba Lodge,1329,1135,90.7,3140,2020-08-14
Alletra Haven,1770,1643,94.0,3230,2020-08-14
dHCI Platinum Beach Resort,3766,1024,80.4,3249,2020-08-14
GreenLake Platinum Heritage Inn,1296,1854,71.5,3970,2020-08-14
Pointnext Signature Residences & Suites,1200,1978,82.0,3054,2020-08-14
ProLiant Place,3091,1049,78.9,3829,2020-08-14
Synergy Golden Grand Hotel,3252,1241,74.9,4079,2020-08-14
Alletra Resort,1715,1279,65.5,3965,2020-08-14
GreenLake Digital Business Suites,1420,1341,86.4,3755,2020-08-14
Apollo Resort & Spa,1832,1608,60.7,4052,2020-08-14
Nimble Inn,1164,1664,69.3,4283,2020-08-14
Ezmeral Grand Hotel,2499,1653,53.6,3005,2020-08-14
Alletra Boutique Hotel,3162,1309,81.1,4743,2020-08-14
Simplivity Golden Plaza Hotel,1169,1906,82.1,4717,2020-08-14
Cray Villas,2903,1589,66.8,4630,2020-08-14
Apollo Diamond Suites,2329,1040,52.9,4423,2020-08-14
Apollo Towers,1830,1505,78.4,3342,2020-08-14
Alletra Diamond Grand Hotel,2843,1103,82.7,4574,2020-08-15
ProLiant Towers,2820,1284,67.3,4525,2020-08-15
Aruba Luxury Lodge,2382,1459,80.4,4385,2020-08-15
InfoSight Boutique Hotel,3590,1235,63.7,3956,2020-08-15
Primera Grand,1275,1731,68.2,3514,2020-08-15
dHCI Executive Boutique Hotel,2233,1996,54.9,3828,2020-08-15
ProLiant Haven,3946,1330,62.8,3219,2020-08-15
Apollo Executive Beach Resort,1151,1152,75.5,4585,2020-08-15
Aruba Lodge,1554,1522,82.3,4686,2020-08-15
Alletra Haven,3788,1014,68.9,3677,2020-08-15
dHCI Platinum Beach Resort,2411,1796,92.8,4868,2020-08-15
GreenLake Platinum Heritage Inn,2198,1977,50.2,4663,2020-08-15
Pointnext Signature Residences & Suites,1262,1201,82.2,3438,2020-08-15
ProLiant Place,2729,1384,94.3,3142,2020-08-15
Synergy Golden Grand Hotel,2253,1976,78.0,3446,2020-08-15
Alletra Resort,3192,1296,58.2,3541,2020-08-15
GreenLake Digital Business Suites,2781,1227,81.5,4338,2020-08-15
Apollo Resort & Spa,3423,1879,82.2,4813,2020-08-15
Nimble Inn,3647,1449,92.7,4481,2020-08-15
Ezmeral Grand Hotel,2393,1866,60.1,4196,2020-08-15
Alletra Boutique Hotel,1541,1839,68.0,3846,2020-08-15
Simplivity Golden Plaza Hotel,3960,1805,58.1,3061,2020-08-15
Cray Villas,2026,1012,76.0,3882,2020-08-15
Apollo Diamond Suites,3491,1495,64.9,4556,2020-08-15
Apollo Towers,3495,1029,83.8,3222,2020-08-15
Alletra Diamond Grand Hotel,2248,1211,90.4,3450,2020-08-16
ProLiant Towers,1858,1017,76.1,3306,2020-08-16
Aruba Luxury Lodge,1522,1249,77.2,3171,2020-08-16
InfoSight Boutique Hotel,3540,1082,74.5,3286,2020-08-16
Primera Grand,1477,1240,72.6,3698,2020-08-16
dHCI Executive Boutique Hotel,1361,1080,84.6,4261,2020-08-16
ProLiant Haven,2572,1068,94.8,3476,2020-08-16
Apollo Executive Beach Resort,1421,1415,61.8,4480,2020-08-16
Aruba Lodge,1881,1263,74.6,3115,2020-08-16
Alletra Haven,2189,1697,88.8,3924,2020-08-16
dHCI Platinum Beach Resort,3934,1986,68.5,3494,2020-08-16
GreenLake Platinum Heritage Inn,2187,1774,70.2,3462,2020-08-16
Pointnext Signature Residences & Suites,3296,1385,81.6,3576,2020-08-16
ProLiant Place,3069,1274,74.8,3009,2020-08-16
Synergy Golden Grand Hotel,3606,1179,86.4,3389,2020-08-16
Alletra Resort,3475,1604,57.7,3541,2020-08-16
GreenLake Digital Business Suites,3588,1810,54.1,4479,2020-08-16
Apollo Resort & Spa,2351,1504,58.6,3080,2020-08-16
Nimble Inn,3044,1471,87.7,3021,2020-08-16
Ezmeral Grand Hotel,1541,1611,71.6,4624,2020-08-16
Alletra Boutique Hotel,2169,1400,67.3,4653,2020-08-16
Simplivity Golden Plaza Hotel,1775,1230,61.4,3094,2020-08-16
Cray Villas,2630,1080,69.7,4417,2020-08-16
Apollo Diamond Suites,1564,1915,61.9,4501,2020-08-16
Apollo Towers,1472,1803,65.6,3182,2020-08-16
Alletra Diamond Grand Hotel,2392,1926,92.0,3119,2020-08-17
ProLiant Towers,1071,1305,50.9,4316,2020-08-17
Aruba Luxury Lodge,2369,1071,82.6,4578,2020-08-17
InfoSight Boutique Hotel,3505,1896,84.8,3244,2020-08-17
Primera Grand,2262,1029,73.8,3266,2020-08-17
dHCI Executive Boutique Hotel,3182,1080,64.6,4374,2020-08-17
ProLiant Haven,2319,1060,87.7,3634,2020-08-17
Apollo Executive Beach Resort,3471,1610,92.4,3956,2020-08-17
Aruba Lodge,2828,1742,78.0,3813,2020-08-17
Alletra Haven,1813,1069,80.6,3082,2020-08-17
dHCI Platinum Beach Resort,2917,1329,93.0,3244,2020-08-17
GreenLake Platinum Heritage Inn,1409,1714,51.8,3773,2020-08-17
Pointnext Signature Residences & Suites,1827,1012,66.4,3468,2020-08-17
ProLiant Place,2347,1044,72.1,3397,2020-08-17
Synergy Golden Grand Hotel,1209,1064,66.0,3989,2020-08-17
Alletra Resort,3791,1201,61.7,3547,2020-08-17
GreenLake Digital Business Suites,1360,1821,73.0,4768,2020-08-17
Apollo Resort & Spa,3323,1958,92.5,3599,2020-08-17
Nimble Inn,1163,1862,62.9,4307,2020-08-17
Ezmeral Grand Hotel,1325,1014,84.1,3475,2020-08-17
Alletra Boutique Hotel,2312,1373,54.0,3255,2020-08-17
Simplivity Golden Plaza Hotel,1666,1825,66.3,4309,2020-08-17
Cray Villas,3429,1288,70.4,3272,2020-08-17
Apollo Diamond Suites,1934,1914,80.6,3441,2020-08-17
Apollo Towers,1226,1533,79.7,4728,2020-08-17
Alletra Diamond Grand Hotel,1385,1646,94.0,3205,2020-08-18
ProLiant Towers,1256,1043,67.3,4851,2020-08-18
Aruba Luxury Lodge,1231,1585,84.1,3466,2020-08-18
InfoSight Boutique Hotel,3665,1594,65.4,4227,2020-08-18
Primera Grand,3914,1840,76.4,4712,2020-08-18
dHCI Executive Boutique Hotel,2313,1086,91.3,3633,2020-08-18
ProLiant Haven,3317,1158,63.2,3534,2020-08-18
Apollo Executive Beach Resort,3227,1661,76.2,3747,2020-08-18
Aruba Lodge,1467,1243,67.1,3598,2020-08-18
Alletra Haven,3909,1530,74.7,4484,2020-08-18
dHCI Platinum Beach Resort,1340,1510,57.5,4875,2020-08-18
GreenLake Platinum Heritage Inn,3230,1046,70.1,3939,2020-08-18
Pointnext Signature Residences & Suites,2197,1433,88.5,4786,2020-08-18
ProLiant Place,3281,1920,69.4,4390,2020-08-18
Synergy Golden Grand Hotel,1500,1987,88.9,4717,2020-08-18
Alletra Resort,2659,2000,75.2,4967,2020-08-18
GreenLake Digital Business Suites,3006,1385,70.1,3104,2020-08-18
Apollo Resort & Spa,3005,1756,60.1,3262,2020-08-18
Nimble Inn,3900,1666,90.7,4214,2020-08-18
Ezmeral Grand Hotel,2645,1594,82.7,4846,2020-08-18
Alletra Boutique Hotel,2290,1077,64.3,3795,2020-08-18
Simplivity Golden Plaza Hotel,1118,1324,60.0,4972,2020-08-18
Cray Villas,1061,1645,84.8,3761,2020-08-18
Apollo Diamond Suites,1352,1799,57.3,4022,2020-08-18
Apollo Towers,3781,1525,52.2,3503,2020-08-18
Alletra Diamond Grand Hotel,1966,1069,77.6,4467,2020-08-19
ProLiant Towers,2404,1439,70.2,4947,2020-08-19
Aruba Luxury Lodge,1723,1820,52.1,3375,2020-08-19
InfoSight Boutique Hotel,2300,1072,50.5,4367,2020-08-19
Primera Grand,2421,1663,92.5,4463,2020-08-19
dHCI Executive Boutique Hotel,3643,1187,91.5,4174,2020-08-19
ProLiant Haven,1830,1969,83.8,4261,2020-08-19
Apollo Executive Beach Resort,2857,1772,72.0,3247,2020-08-19
Aruba Lodge,1006,1076,52.4,3874,2020-08-19
Alletra Haven,3204,1573,56.3,3965,2020-08-19
dHCI Platinum Beach Resort,3273,1811,85.0,4960,2020-08-19
GreenLake Platinum Heritage Inn,3654,1399,93.9,4418,2020-08-19
Pointnext Signature Residences & Suites,3963,1859,54.9,4031,2020-08-19
ProLiant Place,1758,1802,54.4,3164,2020-08-19
Synergy Golden Grand Hotel,2793,1100,92.3,4903,2020-08-19
Alletra Resort,2511,1089,81.8,4493,2020-08-19
GreenLake Digital Business Suites,1499,1834,72.9,3136,2020-08-19
Apollo Resort & Spa,3726,1900,65.8,4836,2020-08-19
Nimble Inn,2706,1935,69.2,3308,2020-08-19
Ezmeral Grand Hotel,1163,1204,64.7,4369,2020-08-19
Alletra Boutique Hotel,3070,1032,60.0,4962,2020-08-19
Simplivity Golden Plaza Hotel,2280,1541,90.5,4353,2020-08-19
